,id,original_language,title,popularity,release_date,vote_average,vote_count
5134,244772,en,The Skeleton Twins,3.534,2014-06-05,6.6,642
5135,4169,en,Breach,3.532,2007-02-12,6.6,593
5136,862968,en,Pain Hustlers,3.899,2023-10-20,6.632,658
5137,523773,en,Little Italy,3.793,2018-08-24,6.632,658
5138,441282,en,Night Hunter,3.79,2019-08-29,6.6,935
5139,10691,en,Crazy/Beautiful,3.531,2001-06-29,6.6,344
5140,1266,en,Street Kings,3.535,2008-04-10,6.632,1525
5141,513045,en,Stuber,3.545,2019-07-11,6.6,1316
5142,431819,ja,Fireworks,3.574,2017-08-18,6.6,344
5143,22794,en,Cloudy with a Chance of Meatballs,4.035,2009-09-17,6.631,6040
5144,3179,en,Beavis and Butt-Head Do America,4.03,1996-12-20,6.627,711
5145,833339,da,Speak No Evil,3.588,2022-03-17,6.63,895
5146,244539,en,Infinitely Polar Bear,3.533,2014-01-18,6.6,372
5147,172803,en,Hours,3.57,2013-12-04,6.6,750
5148,49521,en,Man of Steel,5.649,2013-06-12,6.63,15306
5149,41211,fr,Heartbreaker,3.533,2010-03-17,6.6,1351
5150,26388,en,Buried,3.782,2010-09-24,6.63,2835
5151,6964,en,Something's Gotta Give,3.57,2003-12-12,6.63,1615
5152,3877,en,Things We Lost in the Fire,3.532,2007-09-26,6.6,359
5153,433252,en,Our Souls at Night,3.537,2017-09-29,6.6,437
5154,22970,en,The Cabin in the Woods,3.873,2012-04-12,6.629,7963
5155,9442,en,Dead Men Don't Wear Plaid,3.567,1982-05-21,6.629,394
5156,136403,fr,Populaire,3.827,2012-11-27,6.6,575
5157,20156,en,Exotica,3.53,1994-09-29,6.6,340
5158,10687,en,Tigerland,3.531,2000-10-06,6.6,562
5159,9410,en,Great Expectations,3.531,1998-01-30,6.628,607
5160,727293,en,The Tender Bar,3.586,2021-12-17,6.6,552
5161,390062,en,Jungle,3.537,2017-06-27,6.627,1984
5162,177699,en,Alan Partridge: Alpha Papa,3.533,2013-07-24,6.6,456
5163,12113,en,Body of Lies,3.576,2008-10-09,6.627,3066
5164,11135,en,The Rescuers Down Under,0.842,1990-11-16,6.627,1299
5165,11012,en,Damage,3.53,1992-12-02,6.627,609
5166,1571,en,Live Free or Die Hard,4.909,2007-06-20,6.626,5910
